Xaux_1,Xaux_2,Xaux_3,Xaux_4,Xaux_5,Xaux_6,Xaux_7,Xaux_8,Xaux_9,Var2
0.013656,0.13027,-0.5878,0.011971,0.10317,0.066999,-0.5049,0.022431,0.005253,d
0.16803,0.47146,-0.47786,0.15322,0.58811,0.33049,-0.29513,0.2656,0.051007,d
0.033749,0.203,-0.54353,0.01871,0.14191,0.13481,-0.50768,0.038495,0.013596,c
0.033329,0.19296,-0.63342,0.0037005,0.041692,0.13106,-0.60788,0.007537,0.016981,d
0.26364,0.49769,-0.52703,0.039726,0.30358,0.41198,-0.41232,0.10778,0.18029,d
0.13092,0.4037,-0.55791,0.045513,0.22127,0.29259,-0.4314,0.065989,0.050951,d
0.21501,0.48956,-0.53613,0.07226,0.3498,0.39466,-0.39494,0.13038,0.11259,d
0.17258,0.43491,-0.57379,0.064672,0.30644,0.37765,-0.39604,0.097094,0.097329,d
0.30338,0.5689,-0.68526,0.040415,0.18744,0.49078,-0.47882,0.055167,0.16889,b
0.12305,0.39315,-0.54595,0.063883,0.31427,0.25054,-0.38222,0.10067,0.045394,d
0.27412,0.58743,-0.54993,0.10524,0.44409,0.39083,-0.34864,0.16919,0.1049,d
0.0065566,0.089622,-0.83498,0.0029471,0.024359,0.051507,-0.80122,0.0065518,0.002673,c
0.11966,0.37163,-0.54621,0.067988,0.33901,0.30399,-0.39564,0.12129,0.058342,d
0.02305,0.1655,-0.7502,0.067959,0.21781,0.098255,-0.67331,0.081635,0.01004,b
0.0099769,0.11029,-0.58408,0.0042106,0.047971,0.077163,-0.59731,0.0090349,0.0043609,d
0.12196,0.36484,-0.61885,0.025954,0.14129,0.30374,-0.50428,0.038482,0.066353,d
0.0059973,0.089261,-0.68189,0.0051066,0.046966,0.068948,-0.57665,0.0083115,0.0017915,d
0.021422,0.16708,-0.65764,0.0066837,0.06143,0.1119,-0.59832,0.0131,0.0074894,d
0.034594,0.20665,-0.54767,0.055169,0.24456,0.13975,-0.43721,0.084395,0.014569,d
0.11518,0.39011,-0.48396,0.053422,0.26938,0.26292,-0.39659,0.08999,0.039925,d
0.037576,0.21679,-0.5746,0.0097431,0.082671,0.16702,-0.5889,0.01931,0.014873,c
0.17701,0.47327,-0.57692,0.079413,0.33331,0.30856,-0.37679,0.10818,0.07074,b
0.1345,0.39243,-0.47607,0.02499,0.24273,0.29775,-0.42595,0.071638,0.064389,d
0.066501,0.229,-0.52927,0.026101,0.19238,0.22328,-0.43125,0.050391,0.05611,c
0.0090376,0.1107,-0.67909,0.0037143,0.040852,0.062421,-0.63167,0.0079386,0.0028089,c
0.091716,0.33343,-0.53029,0.040109,0.22247,0.25815,-0.41595,0.061053,0.039233,c
0.029088,0.19225,-0.57523,0.0070147,0.069376,0.12354,-0.58945,0.015344,0.01132,c
0.017118,0.14556,-0.63583,0.0031146,0.044282,0.10125,-0.62118,0.0080746,0.0066129,c
